"순번","단계","차수","에픽","영역","작업코드","작업명","담당","우선순위","산출물","스토리 포인트","요약","선행작업","완료여부","상태"
"1","현재 정리","사전 정리","Epic A. 로컬 ComfyUI 작업공간 확보","Workspace","AI-001","팀 저장소 tools/ComfyUI 작업공간 반입 확인","AI1","P0","ComfyUI 작업공간","1","S14P31C201/tools 아래에 ComfyUI 로컬 작업공간이 들어와 있고 기본 폴더 구조가 잡혀 있음을 확인했다.","","Y","완료"
"2","현재 정리","사전 정리","Epic A. 로컬 ComfyUI 작업공간 확보","Runtime","AI-002",".venv_local 기반 로컬 실행 환경 구성 확인","AI1","P0","로컬 Python 실행 환경","1","tools/ComfyUI/.venv_local 기준으로 ComfyUI를 실행하는 구조가 만들어져 있음을 확인했다.","AI-001","Y","완료"
"3","현재 정리","사전 정리","Epic A. 로컬 ComfyUI 작업공간 확보","Runtime","AI-003","start_comfyui.cmd 기반 로컬 서버 기동 구조 확인","AI1","P0","실행 스크립트","1","127.0.0.1:8188에서 ComfyUI를 띄우는 실행 스크립트가 구성되어 있음을 확인했다.","AI-002","Y","완료"
"4","현재 정리","사전 정리","Epic B. 로컬 생성 검증","Model","AI-004","기본 체크포인트 반입 확인","AI1","P0","기본 체크포인트 파일","1","v1-5-pruned-emaonly-fp16.safetensors가 checkpoints 폴더에 배치되어 있음을 확인했다.","AI-001","Y","완료"
"5","현재 정리","사전 정리","Epic B. 로컬 생성 검증","Generate","AI-005","첫 generation 성공 로그 확인","AI1","P0","실행 로그","1","run 로그에서 got prompt 및 Prompt executed가 남아 있어 실제 생성이 수행되었음을 확인했다.","AI-003;AI-004","Y","완료"
"6","현재 정리","사전 정리","Epic B. 로컬 생성 검증","Generate","AI-006","output 이미지 파일 생성 확인","AI1","P0","생성 결과 이미지","1","output 폴더에 실제 PNG 결과물이 남아 있어 최소 1회 이상 이미지 생성에 성공했음을 확인했다.","AI-005","Y","완료"
"7","현재 정리","사전 정리","Epic B. 로컬 생성 검증","Model/LoRA","AI-007","기본 LoRA 실험 파일 배치 확인","AI1","P1","LoRA 파일 경로","1","lcm-lora-sdv1-5 및 PixelArt 계열 LoRA가 loras 폴더에 들어와 있음을 확인했다.","AI-001","Y","완료"
"8","현재 정리","사전 정리","Epic C. 문서 기준 정리","Docs/Runbook","AI-008","로컬 실행 가이드 및 img2img 실습 문서 정리 확인","AI1","P0","실행 가이드 문서","2","ComfyUI 로컬 실행 절차와 img2img 최소 실습 흐름이 tools/docs 기준으로 문서화되어 있음을 확인했다.","AI-003;AI-006","Y","완료"
"9","현재 정리","사전 정리","Epic C. 문서 기준 정리","Docs/Architecture","AI-009","데이터 구조 및 백엔드 API 초안 문서 정리 확인","AI1","P0","설계 초안 문서","2","SQLite 테이블 초안, /prompt /history 기반 백엔드 API 초안, S3 저장 흐름 문서가 작성되어 있음을 확인했다.","AI-008","Y","완료"
"10","현재 정리","사전 정리","Epic C. 문서 기준 정리","Docs/ModelOps","AI-010","Z-Image 전환 계획 및 LoRA 운영 방향 문서화 확인","AI1","P1","모델 운영 문서","2","Z-Image-Turbo 로컬 생성, Z-Image 학습 분리, char/tile/object LoRA 계획이 문서로 정리되어 있음을 확인했다.","AI-007;AI-009","Y","완료"
"11","1차 MVP","1차","Epic D. 범위 / 운영 기준 정리","Docs/Scope","AI-101","1차 MVP 포함·제외 범위 확정","AI1","P0","MVP 범위 문서","1","ComfyUI 원본 UI 접속, 생성 실행, 저장, 조회, 인증까지를 1차 MVP에 포함하고 workflow 협업 기능은 후순위로 고정한다.","AI-009","Y","완료"
"12","1차 MVP","1차","Epic D. 범위 / 운영 기준 정리","Docs/Boundary","AI-102","게임 서비스 백엔드와 AI 제작 도구 배포 단위 분리 확정","AI1","P0","배포 경계 문서","1","게임 서버와 ComfyUI 내부 도구를 같은 서비스로 섞지 않고 별도 단위로 운영하는 기준을 확정한다.","AI-101","Y","완료"
"13","1차 MVP","1차","Epic D. 범위 / 운영 기준 정리","Docs/Ownership","AI-103","실험 저장소와 팀 구현 저장소 역할 분리 확정","AI1","P0","저장소 운영 기준","1","comfy_UI_Test는 참조와 실험 저장소로, 팀 저장소는 실제 구현 저장소로 역할을 분리한다.","AI-102","Y","완료"
"14","1차 MVP","1차","Epic D. 범위 / 운영 기준 정리","Docs/Storage","AI-104","결과 이미지·메타데이터 저장 구조 확정","AI1","P0","저장 전략 문서","1","결과 이미지는 S3, 메타데이터는 Postgres, 임시 산출물은 ComfyUI output 경로를 쓰는 구조를 확정한다.","AI-101;AI-009","Y","완료"
"15","1차 MVP","1차","Epic D. 범위 / 운영 기준 정리","Docs/Ops","AI-105","담당자·문서·로그 갱신 규칙 정리","AI1","P1","운영 규칙 문서","1","AI1이 어떤 작업을 맡고 어떤 문서를 갱신할지 최소 운영 기준을 정리한다.","AI-103","Y","완료"
"16","1차 MVP 상세","1차","Epic A. 범위 / 운영 기준","Docs/Ops","AI-105-01","AI 도구 작업 담당자와 책임 범위 확정","AI1","P1","담당자 표","1","AI1이 맡을 1차 MVP 상세 작업과 리뷰 기준을 먼저 고정한다.","AI-105","Y","완료"
"17","1차 MVP 상세","1차","Epic A. 범위 / 운영 기준","Docs/Ops","AI-105-02","문서 갱신 위치와 운영 로그 경로 고정","AI1","P1","운영 규칙 문서","1","기준 문서, daily log, handoff 문서를 어디에 남길지 미리 정해 문서가 흩어지지 않게 한다.","AI-105-01","Y","완료"
"18","1차 MVP 상세","1차","Epic A. 범위 / 운영 기준","Docs/Ops","AI-105-03","CSV 상태 컬럼 운영 규칙 정리","AI1","P1","상태 운영 규칙","1","완료, 부분 완료, 미완료를 어떤 기준으로 판정하고 언제 갱신할지 기준을 정한다.","AI-105-02","Y","완료"
"19","1차 MVP","1차","Epic E. 공용 ComfyUI 서버화","Runtime","AI-201","GPU 데스크탑 ComfyUI host·port·output 경로 고정","AI1","P0","운영 실행 기준","2","내부 서버로 쓸 GPU 데스크탑에서 ComfyUI의 실행 주소와 output 경로를 고정한다.","AI-003;AI-004","Y","완료"
"20","1차 MVP 상세","1차","Epic B. 공용 ComfyUI 서버화","Runtime","AI-201-01","GPU 데스크탑 내부 IP 또는 고정 호스트명 확보","AI1","P0","접속 대상 정보","1","프록시 서버가 항상 같은 대상에 붙을 수 있도록 GPU 데스크탑의 내부 IP나 호스트명을 고정한다.","AI-201","Y","완료"
"21","1차 MVP 상세","1차","Epic B. 공용 ComfyUI 서버화","Runtime","AI-201-02","ComfyUI listen 주소를 내부망 접근 가능 상태로 조정","AI1","P0","실행 옵션 기준","1","127.0.0.1 전용이 아니라 프록시 서버가 접근 가능한 listen 주소로 ComfyUI를 띄우는 기준을 정한다.","AI-201-01","Y","완료"
"22","1차 MVP 상세","1차","Epic B. 공용 ComfyUI 서버화","Runtime","AI-201-03","output·models·loras 경로와 운영 위치 최종 고정","AI1","P0","경로 기준 문서","1","output, checkpoints, loras 경로를 운영 기준으로 다시 확인하고 문서에 고정한다.","AI-201-02","Y","완료"
